Pathway_ID	Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
PWY-6075-1	YML008C		ERG6	RXN3O-178	2.1.1.41	SAM:C-24 sterol methyltransferase	No Evidence Code
PWY-6075-1	YMR202W		ERG2	RXN3O-203	No EC#	C-8 sterol isomerase	No Evidence Code
PWY-6075-1	YLR056W		ERG3	RXN3O-9827	No EC#	C-5 sterol desaturase	No Evidence Code
PWY-6075-1	YMR015C		ERG5	RXN3O-9828	No EC#	C-22 sterol desaturase	No Evidence Code
PWY-6075-1	YGL012W		ERG4	1.3.1.71-RXN	1.3.1.71	C-24 sterol reductase	No Evidence Code
PWY3O-1874	YNR033W		ABZ1	PABASYN-RXN	2.6.1.85	aminodeoxychorismate synthase	No Evidence Code
PWY3O-1874	G3O-84		ABZ2	ADCLY-RXN	4.1.3.38	aminodeoxychorismate lyase	No Evidence Code
PWY3O-31704	YJL167W		ERG20	GPPSYN-RXN	2.5.1.1	farnesyl diphosphate synthetase	No Evidence Code
PWY3O-31704	YJL167W		ERG20	FPPSYN-RXN	2.5.1.10	farnesyl diphosphate synthetase	No Evidence Code
PWY3O-31704	YHR190W		ERG9	RXN-12263	2.5.1.103	squalene synthase	EV-EXP
PWY3O-31704	YHR190W		ERG9	RXN66-281	No EC#	squalene synthase	EV-EXP
PWY3O-31704	YGR175C		ERG1	SQUALENE-MONOOXYGENASE-RXN	1.14.14.17	squalene monooxygenase	No Evidence Code
PWY3O-31704	YHR072W		ERG7	LANOSTEROL-SYNTHASE-RXN	5.4.99.7	2,3-oxidosqualene-lanosterol cyclase	No Evidence Code
PWY3O-31704	YHR007C		ERG11	RXN3O-130	1.14.14.154	cytochrome P450 lanosterol 14a-demethylase	No Evidence Code
PWY3O-31704	YNL280C		ERG24	RXN66-306	1.3.1.70	C-14 sterol reductase	No Evidence Code
PWY3O-31704	YGR060W		ERG25	RXN66-310	No EC#	methylsterol monooxygenase	No Evidence Code
PWY3O-31704	YGR060W		ERG25	RXN66-311	No EC#	methylsterol monooxygenase	No Evidence Code
PWY3O-31704	YGR060W		ERG25	RXN66-312	No EC#	methylsterol monooxygenase	No Evidence Code
