pathway,description
PWY3O-19,ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)
PWY-922,mevalonate pathway I
PWY3O-242,phosphatidylinositol phosphate biosynthesis
PWY3O-94,superpathway of TCA cycle and glyoxylate cycle
PWY3O-64,methionine salvage pathway
PWY3O-862,superpathway of ubiquinone biosynthesis
PWY3O-48,glycerol biosynthesis
PWY-781,sulfate assimilation pathway
PWY3O-6499,phosphatidate biosynthesis II (the glycerol-3-phosphate pathway)
PWY3O-6407,phosphatidate biosynthesis I (the dihydroxyacetone pathway)
PWY3O-45,folate biosynthesis II
PWY3O-6635,superpathway of phosphatidate biosynthesis
PWY3O-188,"aerobic respiration, electron transport chain"
PWY-5651,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY3O-351,superpathway of methionine salvage pathway
PWY3O-1743,mannose degradation
PWY3O-7,superpathway of threonine biosynthesis
PWY-5686-1,UMP biosynthesis I
PWY3O-261,superpathway of serine and glycine biosynthesis
PWY3O-3827,glucose-6-phosphate biosynthesis
PWY3O-355,stearate biosynthesis III (fungi)
PWY3O-5962,"superpathway of fatty acid biosynthesis, saturated and unsaturated"
PWY3O-4,carnitine shuttle
PWY-5971-1,myristate biosynthesis
PWY3O-4158,superpathway of NAD biosynthesis
PWY3O-450,
PWY3O-123,dolichyl phosphate D-mannose biosynthesis
PWY3O-4107,NAD salvage pathway V (PNC V cycle)
PWY3O-2,superpathway of phospholipid biosynthesis
PWY3O-4153,phenylalanine biosynthesis
PWY-6074-1,zymosterol biosynthesis
PWY-6123-1,inosine-5'-phosphate biosynthesis I
PWY3O-10,"fatty acid biosynthesis, initial steps"
PWY3O-13,superpathway of glutamate biosynthesis
PWY3O-8514,palmitate biosynthesis
PWY3O-6336,"superpathway of fatty acid biosynthesis, saturated"
PWY-5694,allantoin degradation to glyoxylate I
PWY-6126-1,superpathway of adenosine nucleotides de novo biosynthesis II
PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis
PWY3O-4109,isoleucine degradation
PWY3O-4112,leucine degradation
PWY-7220-1,adenosine deoxyribonucleotides de novo biosynthesis II
PWY3O-4105,valine degradation
PWY3O-69,superpathway of heme and siroheme biosynthesis
PWY-7222-1,guanosine deoxyribonucleotides de novo biosynthesis II
PWY-821-1,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)
PWY-6075-1,ergosterol biosynthesis I
PWY3O-4031,glycogen biosynthesis
PWY-6482-1,diphthamide biosynthesis
PWY3O-954,superpathway of methionine biosynthesis
PWY-5653,NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-7219,adenosine ribonucleotides de novo biosynthesis
PWY-7221,guanosine ribonucleotides de novo biosynthesis
PWY3O-285,superpathway of purine biosynthesis and salvage pathways
PWY0-662,PRPP biosynthesis
PWY-5084,2-oxoglutarate decarboxylation to succinyl-CoA
PWY-7176,UTP and CTP de novo biosynthesis
PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II
PWY3O-4108,L-tyrosine degradation III
PWY3O-981,superpathway of acetoin and butanediol biosynthesis
PWY3O-31704,ergosterol biosynthesis
PWY3O-2220,"salvage pathways of adenine, hypoxanthine and their nucleosides"
PWY-2201,folate transformations I
PWY3O-4120,tyrosine biosynthesis
PWY-6614,tetrahydrofolate biosynthesis
PWY3O-1,salvage pathways of purines and their nucleosides
PWY3O-214,tryptophan degradation
PWY3O-50,tetrapyrrole biosynthesis
PWY3O-20,folate polyglutamylation
PWY3O-4115,phenylalanine degradation
PWY3O-440,pyruvate fermentation to acetoin III
PWY3O-259,phospholipid biosynthesis II (Kennedy pathway)
PWY3O-697,folate interconversions
PWY-5760-1,beta-alanine biosynthesis IV
PWY-5041,S-adenosyl-L-methionine cycle II
PWY3O-4300,ethanol degradation
PWY3O-1565,dolichyl glucosyl phosphate biosynthesis
PWY3O-15,chitin biosynthesis
