,chromosome_a,chromosome_b,SS,VC,n_snp_pairs
0,0,0,2.6028233388042388e-12,0.0008342317685537465,494515
1,0,1,7.97377441852376e-12,0.002555677074214986,3716325
2,0,2,1.877450018367144e-12,0.0006017421258844352,555210
3,0,3,1.0130171007594058e-11,0.0032468244576673824,4014825
4,0,4,1.0122420263103393e-11,0.0032443402639890572,1849705
5,0,5,3.883583125224854e-12,0.0012447285109907667,1281560
6,0,6,1.1079515777057125e-11,0.003551099263486614,3911345
7,0,7,5.653253472986952e-12,0.0018119261390283773,1629810
8,0,8,4.571046232498821e-12,0.0014650675387098313,2067610
9,0,9,1.04496663058673e-11,0.0033492260013101953,2959130
10,0,10,8.251592117924922e-12,0.002644720516868854,3222805
11,0,11,1.4019470480353124e-11,0.0044933851170955936,4288450
12,0,12,1.0437006293939621e-11,0.003345168336703119,2930275
13,0,13,9.55584569806156e-12,0.0030627472628945,1790005
14,0,14,1.553252491903745e-11,0.004978334695303082,4267555
15,0,15,9.25790867578602e-12,0.002967255369416725,1911395
16,1,1,2.7267535451791503e-11,0.008739526799579258,6973245
17,1,2,6.718959156409854e-12,0.002153495819838179,2084130
18,1,3,3.28685828554498e-11,0.010534720354072992,15070725
19,1,4,1.53891187987254e-11,0.004932371552286117,6943365
20,1,5,1.022935902650346e-11,0.0032786152423896937,4810680
21,1,6,3.1648145909501935e-11,0.010143557705172604,14682285
22,1,7,1.3156151515425485e-11,0.004216682470319557,6117930
23,1,8,1.665727278332696e-11,0.005338828005015892,7761330
24,1,9,2.8297728743575945e-11,0.009069714392008165,11107890
25,1,10,2.4310487650724966e-11,0.0077917624315545705,12097665
26,1,11,3.668660861211315e-11,0.011758437051199387,16097850
27,1,12,3.178180635332595e-11,0.010186397258197439,10999575
28,1,13,2.1697733887382498e-11,0.006954347859350069,6719265
29,1,14,4.4101288593223487e-11,0.014134918582498181,16019415
30,1,15,1.7598998647283537e-11,0.005640660872913188,7174935
31,2,2,1.0096181703167506e-12,0.00032359305344721573,155403
32,2,3,6.8626740575006284e-12,0.002199557930284585,2251530
33,2,4,3.330486927910492e-12,0.0010674554659911438,1037322
34,2,5,2.602400716797404e-12,0.0008340963138346592,718704
35,2,6,6.072501008980158e-12,0.0019462993053509488,2193498
36,2,7,2.7104013478052025e-12,0.0008687116317731974,914004
37,2,8,3.740697855636466e-12,0.001198932306011384,1159524
38,2,9,5.469721897632951e-12,0.0017531023731544465,1659492
39,2,10,5.192663139752529e-12,0.0016643021790982212,1807362
40,2,11,7.685896190323671e-12,0.002463409128150767,2404980
41,2,12,6.8100056843656276e-12,0.002182677172604179,1643310
42,2,13,4.131973409260414e-12,0.0013243401630200393,1003842
43,2,14,7.87745303015841e-12,0.002524805074195771,2393262
44,2,15,3.7491554999435905e-12,0.0012016430683835135,1071918
45,3,3,4.973772088634476e-11,0.015941453359608407,8138595
46,3,4,2.10989004045814e-11,0.006762415541862911,7501065
47,3,5,1.4524242052116332e-11,0.004655169620388518,5197080
48,3,6,4.0029951575704104e-11,0.0128300130094354,15861585
49,3,7,1.839328862829337e-11,0.005895239017239637,6609330
50,3,8,1.9107522855610348e-11,0.006124158465491547,8384730
51,3,9,3.1547080919791526e-11,0.010111165331918522,12000090
52,3,10,3.111775767616898e-11,0.009973562797213646,13069365
53,3,11,4.902300787534841e-11,0.015712380456241185,17390850
54,3,12,4.515750273714758e-11,0.014473446126846265,11883075
55,3,13,3.183265803730073e-11,0.010202695748234687,7258965
56,3,14,4.999212155354371e-11,0.01602299140153181,17306115
57,3,15,2.877854898830634e-11,0.009223822247557883,7751235
58,4,4,1.0846725427560155e-11,0.0034764875516320863,1727011
59,4,5,6.568530875467049e-12,0.0021052820017966258,2394392
60,4,6,2.0168639328077553e-11,0.006464257256781204,7307729
61,4,7,8.854727714946442e-12,0.002838031706406649,3045042
62,4,8,1.0653727899878618e-11,0.0034146298502491577,3863002
63,4,9,2.0392805499813704e-11,0.006536104830571319,5528666
64,4,10,1.4925897323658788e-11,0.004783904284217733,6021301
65,4,11,2.6748634557316464e-11,0.00857321370239422,8012290
66,4,12,2.080727951048189e-11,0.006668948032714317,5474755
67,4,13,2.1013916301493296e-11,0.006735177258894881,3344341
68,4,14,3.347708221745904e-11,0.010729750685699728,7973251
69,4,15,1.48083090928397e-11,0.004746216041494975,3571139
70,5,5,3.360850660272252e-12,0.001077187355885631,828828
71,5,6,1.1927388764154667e-11,0.003822851314803428,5063128
72,5,7,5.538205744698432e-12,0.0017750521536113281,2109744
73,5,8,7.029057891294599e-12,0.0022528856678437786,2676464
74,5,9,9.766489700302472e-12,0.0031302608416706166,3830512
75,5,10,8.451550223553816e-12,0.002708809155390162,4171832
76,5,11,1.4111342303002594e-11,0.00452283098533663,5551280
77,5,12,1.1018731066458898e-11,0.003531617135803418,3793160
78,5,13,6.793962961659794e-12,0.0021775353142476092,2317112
79,5,14,1.3214512817327773e-11,0.00423538787048068,5524232
80,5,15,8.56488057560112e-12,0.0027451327039805457,2474248
81,6,6,3.756450359104768e-11,0.01203981146104215,7724415
82,6,7,1.735262974977836e-11,0.005561697096148837,6438978
83,6,8,1.574850319596699e-11,0.005047557964222629,8168618
84,6,9,3.691817684892129e-11,0.01183265706331211,11690794
85,6,10,2.8673383112298723e-11,0.00919011549788134,12732509
86,6,11,4.915312254438753e-11,0.015754083551817833,16942610
87,6,12,3.6126372726652534e-11,0.011578875662392341,11576795
88,6,13,4.769208292176863e-11,0.015285805259498382,7071869
89,6,14,4.68525530872288e-11,0.015016727274765254,16860059
90,6,15,2.858970872543498e-11,0.009163296992493243,7551451
91,7,7,1.0033043840174116e-11,0.0032156941971370704,1340703
92,7,8,8.694664779818062e-12,0.002786729882167822,3403764
93,7,9,1.3442693139187334e-11,0.004308522020853527,4871412
94,7,10,1.3652336205982607e-11,0.004375714789479153,5305482
95,7,11,1.9728208650038326e-11,0.00632309467460043,7059780
96,7,12,1.8505396867651847e-11,0.005931170866088216,4823910
97,7,13,1.714352444726064e-11,0.005494676686529541,2946762
98,7,14,2.212114866284587e-11,0.007090056668972496,7025382
99,7,15,1.2051985277816701e-11,0.003862785784576418,3146598
100,8,8,9.284439536627609e-12,0.002975758784393517,2158003
101,8,9,1.6112420425651308e-11,0.005164197195783463,6179972
102,8,10,1.5370406336590037e-11,0.00492637401486264,6730642
103,8,11,2.2374293390248212e-11,0.0071711921692166015,8956180
104,8,12,1.7387051867712167e-11,0.005572729740544318,6119710
105,8,13,1.2786177498724793e-11,0.004098101975950336,3738322
106,8,14,2.1230597141430607e-11,0.0068046257065162465,8912542
107,8,15,1.292645504524792e-11,0.004143062378748219,3991838
108,9,9,2.1420991716536442e-11,0.00686564913470886,4420851
109,9,10,2.598961150457324e-11,0.008329938972902228,9632786
110,9,11,5.855711054936208e-11,0.01876815885531202,12817940
111,9,12,4.4302957136199694e-11,0.014199555433858977,8758430
112,9,13,2.6237966660458412e-11,0.00840953936599641,5350226
113,9,14,6.272153629804933e-11,0.02010290032836726,12755486
114,9,15,2.4292210604182074e-11,0.007785904449326541,5713054
115,10,10,2.2328987617226126e-11,0.007156671200931726,5243941
116,10,11,3.52917174650802e-11,0.011311360028652072,13960090
117,10,12,3.365582812442369e-11,0.010787040595416523,9538855
118,10,13,2.5114703719464337e-11,0.008049521989539787,5826961
119,10,14,3.030552891969407e-11,0.009713235090034118,13892071
120,10,15,1.9296052602979508e-11,0.006184584197129954,6222119
121,11,11,1.112299974348474e-10,0.03565036323937788,9285895
122,11,12,6.61145374558636e-11,0.021190392250845826,12692950
123,11,13,4.987909738018992e-11,0.015986765986375676,7753690
124,11,14,1.2683010197633848e-10,0.040650357901808654,18485590
125,11,15,4.199419284534045e-11,0.013459572627948651,8279510
126,12,12,3.538950035797406e-11,0.011342700455970748,4335040
127,12,13,1.8114255928569634e-10,0.05805806154430823,5298055
128,12,14,1.0212058976222238e-10,0.03273070397556389,12631105
129,12,15,2.2506323194004807e-11,0.007213509085254502,5657345
130,13,13,3.564083750351443e-11,0.011423256607554867,1617301
131,13,14,5.212578979563176e-11,0.016706854114981205,7715911
132,13,15,3.523322258947026e-11,0.011292611816737763,3455879
133,14,14,1.2732216669864016e-10,0.040808069728581045,9195616
134,14,15,3.979782822738365e-11,0.0127556150783484,8239169
135,15,15,1.5516015555716578e-11,0.004973043273808761,1844160
