,MKT1,MIP1,HAL9,LMO1,VPS70,BUL2,VPS36,RSF1,FLO5
FLO9,2.4453629667695556e-10,6.184847742452457e-10,1.0876121737135424e-09,4.764782336655218e-09,2.4335510874262782e-09,2.907808878053674e-09,3.2861432124855136e-09,4.870886540301237e-09,3.005689223655368e-09
GDH3,4.821862027463922e-11,2.7823759088229884e-10,9.623964963846473e-10,3.673446056284463e-09,2.2707178454216756e-09,3.0297810242164418e-09,3.527707600775193e-09,4.69436324077028e-09,3.1591147820186843e-09
BDH2,6.259170508962296e-11,3.8517084201362975e-10,1.0186723220612919e-09,4.243085526167007e-09,3.8102284323388815e-09,3.3073903599427116e-09,2.6164119603419123e-09,2.725903748949107e-09,2.655934145008051e-09
BDH1,4.705306366316796e-11,5.848487844821863e-11,2.209179821318727e-09,5.701194537824232e-09,9.613192928990412e-09,3.2702301677020885e-09,2.7045185389854553e-09,2.8070624551982755e-09,2.2312605268517817e-09
ECM1,7.225661463426213e-12,8.231529481965643e-11,3.629032351602507e-09,5.874696333674435e-09,9.78863321036706e-09,4.525651119002989e-09,4.261157231877289e-09,3.357944245445716e-09,1.6187911944113582e-09
CNE1,7.579743492624405e-11,4.3008531712649677e-11,3.013662801653559e-09,6.814340129387736e-09,1.2048782276148109e-08,4.6191577798137454e-09,4.460992806011076e-09,3.984176376651663e-09,1.9795388247409874e-09
GPB2,1.2512938918132214e-10,3.978056949550217e-10,3.020221181468804e-09,7.559016705600483e-09,1.2209843737869476e-08,5.737441263536329e-09,4.125491341668806e-09,3.0744998241341586e-09,1.5730996220207247e-09
PEX22,2.4908629992661644e-10,5.995324567093807e-10,3.3440521267581626e-09,8.878823238788102e-09,1.2943090013694358e-08,8.05570187605436e-09,3.657588806139747e-09,3.3937979102389047e-09,1.6732839804838063e-09
ACS1,9.762553846653235e-11,5.648709322442399e-10,2.82997027627361e-09,1.079419691962002e-08,1.2785095906180673e-08,6.96647298228855e-09,3.6634384850272532e-09,3.73845918420291e-09,1.125450243713034e-09
FLC2,1.457473809608223e-11,1.4428234031801005e-10,2.024649344083625e-09,9.921536614446551e-09,7.799094690241843e-09,5.956108707626245e-09,4.0913975226283555e-09,6.189893374716135e-09,1.0250362548157188e-09
OAF1,2.3296518936791304e-10,8.867245466528651e-11,4.2542564842855345e-10,7.914156470292416e-09,6.954074254630558e-09,6.3159413916594085e-09,2.366272947996252e-09,5.714876716135884e-09,1.2223147012559445e-09
AIM2,1.1308689163703945e-09,1.0536870287688651e-10,1.1438398833628869e-10,5.608829196002147e-09,7.171480209685478e-09,2.9626269960082112e-09,1.8624925461983784e-09,7.058395499606732e-09,8.324768879441418e-10
GEM1,9.603272632371088e-10,3.627512011687902e-10,9.70642608176446e-10,4.859599259566514e-09,7.208569932614726e-09,2.2098967358241035e-09,2.7856313002948047e-09,9.640012800983018e-09,1.1129790778832275e-09
SPC72,1.8019955477960834e-09,3.5781592571045587e-10,1.94895550928431e-09,3.5488685377428488e-09,5.043817538178417e-09,2.5324394113229472e-09,2.569143447314538e-09,8.927060832328871e-09,7.544414788861826e-10
BOL3,2.4230664420064215e-09,9.449599651497335e-11,2.0808230539986072e-09,2.7885802217181654e-09,3.204264708113973e-09,2.4935336308903458e-09,2.1199150916675284e-09,9.345452134309882e-09,3.537421012593372e-10
BOL1,2.8440645209851474e-09,7.691022218354443e-11,1.6470489880578815e-09,1.917140904646638e-09,3.0887744596902902e-09,2.717565550356411e-09,2.0374135867077847e-09,9.278901729101559e-09,2.242908986799049e-10
GCV3,2.226971014902903e-09,9.780916873719118e-11,1.7405432525321503e-09,1.277074226258954e-09,2.6670320417749576e-09,2.025182264920486e-09,1.5738658796807198e-09,6.125024772522249e-09,7.856740797068892e-10
PTA1,1.149511543965954e-09,1.3627098109593977e-10,1.6522012188493244e-09,1.8535453831143586e-09,3.4474489699865706e-09,1.0965908899101563e-09,1.0567128212654837e-09,6.45072082095803e-09,5.200798107624191e-10
ERV46,2.0972365206299856e-10,1.0684232873131316e-10,5.0014782715511e-10,3.1868815601067083e-09,4.667770798888347e-09,2.568248826617641e-09,5.274885014001831e-10,2.4183699307929842e-09,7.957248646838468e-10
CDC24,1.924012671874151e-09,3.9109343948709944e-10,3.7340008394685323e-10,4.163956111073944e-09,7.242041500714828e-09,2.5972153354441826e-09,4.899766716856515e-10,2.5878195322038036e-09,1.359881891715609e-09
CLN3,2.8668953442812056e-09,4.2088216815621405e-10,2.8677561169914515e-10,5.0182196483379025e-09,8.378402412398514e-09,1.922090172592047e-09,2.9173033718256726e-10,3.6332250773462618e-09,1.9229535299840624e-09
CYC3,6.97242004486097e-09,1.450725660440332e-10,4.347412690629154e-11,4.6763977307611225e-09,3.760254951317647e-09,1.8619144197841676e-10,1.4055127436079888e-10,1.1516383512062596e-09,5.440396736045907e-10
CDC19,1.268043074863932e-08,2.428421498504978e-10,4.68351976664278e-10,4.4100979095052e-09,1.183152750947948e-09,9.529426631637881e-12,2.8895765991482094e-10,1.6828530071958813e-09,1.9200648239979815e-10
YAL037W,2.987491858782185e-08,2.4163066917374005e-09,1.689064031697221e-10,1.9376219495958586e-09,2.5160590254507177e-09,2.7074927456962524e-11,7.949480632845146e-11,7.200306718775993e-10,3.277520961132225e-10
RBG1,2.680354872139551e-08,3.3246593891094453e-09,4.728942507941178e-10,2.7232670428569022e-09,2.626763211039652e-09,2.0284296502267882e-11,1.977433860858087e-10,9.479336639244079e-10,7.390243277310507e-10
FUN12,2.797484433689979e-08,3.130593633631814e-09,3.0337506138785553e-10,2.746150831871147e-09,3.3542452584952274e-09,3.3742150343854106e-11,7.180763497710224e-11,6.727444774128369e-10,8.056022107265605e-10
FUN19,3.701863806422912e-08,4.631655909322512e-09,3.6218269886214003e-10,6.810001353335219e-10,9.204833818777425e-10,2.4897487394710436e-10,1.728082821005193e-09,1.5555505464280406e-09,1.0014841784109357e-09
POP5,3.9893563252228825e-08,5.850242456732239e-09,8.833939795902129e-10,8.24943290469311e-10,1.2358963287362616e-09,2.229265068212512e-10,2.1149026281943765e-09,9.000410076163101e-10,1.4572287872404075e-09
PRP45,4.870792713973243e-08,5.407846068340294e-09,2.929998477253298e-09,1.6382983654788218e-09,5.54278463962315e-10,1.1310991919680513e-09,4.294122503389958e-09,4.387087973902591e-10,1.7418370221187965e-09
GIP4,5.0125419486517783e-08,5.849660707853948e-09,3.4267846520948736e-09,1.5355398242373238e-09,4.912143858533849e-10,2.1931371162297336e-09,3.4494631273471506e-09,1.3355917792323682e-10,2.358482784823371e-09
SNC1,5.986104756355521e-08,7.3927180961226255e-09,4.224628842749954e-09,8.13185928493206e-10,1.6816172831951005e-10,8.281460570730654e-10,2.8017541371630054e-09,7.042900375838092e-10,2.2860438008162197e-09
MYO4,6.297101329267684e-08,6.983631557722462e-09,4.806203455974848e-09,8.050753724785039e-10,1.147172105490672e-10,9.400620929075255e-10,3.2491054540640396e-09,4.677021858429228e-10,1.489861180058623e-09
FRT2,6.968611367274183e-08,4.696191251554234e-09,1.4733415879141868e-09,1.2909122494575706e-10,1.0145818689296884e-10,1.8407296483441453e-09,9.706847364258887e-10,9.431052776383707e-11,7.073827499582155e-10
DRS2,8.521587493119261e-08,4.186001929208277e-09,1.5456928514330308e-09,1.93572590021899e-10,3.410964549526988e-11,3.043697944116933e-09,1.4839639583500267e-09,2.706066547753565e-10,2.585331593742502e-10
MAK16,8.341260126966448e-08,5.401145654436897e-09,2.0412622797295685e-09,6.976636521089078e-11,7.031386217212494e-10,2.072553972837232e-09,1.722834789635561e-09,5.811455410751929e-11,2.947710772130661e-10
PMT2,9.099750859156827e-08,6.9836656142713785e-09,5.1473742829979005e-09,2.0333041747453512e-10,2.6759940381087328e-09,1.7866004457819223e-09,3.0235379888625447e-10,1.338722762773555e-10,2.4203129947710413e-11
FUN26,9.9191674241845e-08,7.181418419689611e-09,3.6842688559078374e-09,4.669792426739443e-10,4.178165337526003e-09,1.0693172927634569e-09,1.8866244516764876e-10,2.3059168511975007e-13,6.583710831758535e-12
CCR4,9.213257821963065e-08,5.564088321059727e-09,1.935769548896624e-09,9.678906298928208e-11,4.9914764783754345e-09,2.116909564193013e-09,2.404549607505986e-10,1.375759212377518e-10,4.999948676156372e-10
ATS1,6.415439690652623e-08,5.558426311590123e-09,3.245008209954759e-10,5.033897535881749e-10,5.100679361332512e-09,1.1768242694479424e-10,2.2765411071110093e-11,3.199841373532189e-10,9.866780697824002e-11
FUN30,6.153264782037796e-08,3.4595015072362657e-09,7.021567970922992e-11,2.607689422686901e-09,2.3210514737995058e-09,6.613215789592202e-10,5.946734976765744e-10,3.1672423372200235e-10,4.3998351059096796e-11
LDS1,5.7899322111663226e-08,3.705098249387753e-09,2.4951133934559206e-10,5.50245883756034e-09,1.1283118977547479e-09,4.259503072034379e-10,5.778091658090642e-11,2.74564563952927e-10,8.734093790959431e-11
PSK1,5.9027749460310824e-08,4.273924788324117e-09,2.722618177503661e-10,6.677836121699113e-09,7.347107822586835e-10,4.710434919470073e-10,1.670465190022639e-10,2.5484204922109205e-10,1.432105624850365e-10
NTG1,4.514255188156036e-08,2.7229695530442277e-09,1.1718909893479026e-10,4.094738104464064e-09,2.0000758099957572e-11,1.8233717554651714e-10,2.9461346341378177e-10,2.7536727254056677e-11,4.6499020248109767e-10
SYN8,4.3834700412691954e-08,2.095221457653385e-09,1.759444479167758e-10,4.4415634034568556e-09,4.1977786449393825e-11,3.0340377986301743e-10,6.111290146096921e-10,6.241333295203439e-11,9.861328893065677e-11
DEP1,3.6419325621713565e-08,6.695548220417592e-09,1.1214992733675266e-10,4.843223163306721e-09,6.248041657970497e-11,1.2184425999116744e-10,2.0004714219575605e-09,1.0052907041076124e-10,2.065113264128247e-10
CYS3,2.9511016242403165e-08,5.04343699540908e-09,2.9984395125590283e-10,4.820305677970007e-09,2.693136162640482e-10,5.90598951930912e-11,3.576788734852479e-09,1.411107463474729e-10,9.953798450118417e-10
SWC3,1.8197571928006836e-08,7.216211850518718e-09,4.221339059793624e-10,2.9477207583147476e-09,1.2296473537579395e-10,7.059143521232193e-11,2.0935161220888375e-09,3.7099507538022897e-10,1.8208583006833502e-09
MDM10,1.2724609697738766e-08,8.044980998346379e-09,5.547753409050988e-10,2.2300672622097296e-09,7.52722765285726e-11,2.104073551254916e-10,1.8741585018919627e-09,4.75186489695135e-10,1.6662630744574867e-09
SPO7,1.48285480260455e-08,7.548418941478244e-09,6.210936242059004e-10,2.8482689696056965e-09,1.7576890288771499e-10,3.7087008606140585e-10,2.4791205723795346e-09,3.7820458478004994e-10,1.2772196445413886e-09
FUN14,1.4550538114959739e-08,7.219633780527807e-09,7.318269526247874e-10,3.3525557627945242e-09,2.982210891942204e-10,2.963584323039639e-10,1.7426737292603678e-09,4.657542118437345e-10,1.5702708130101798e-09
ERP2,1.4266868474075078e-08,7.1989990862541055e-09,8.542288714185024e-10,3.513451971271116e-09,2.7020428372818817e-10,1.7270733228600463e-10,9.765401634501704e-10,5.147986154143064e-11,1.4516889295248281e-09
SSA1,1.726024712651522e-08,5.659410039012007e-09,2.0586915034903783e-10,3.5830096220433305e-09,2.3347861885981436e-10,4.1189094421133207e-10,1.364478328992231e-09,6.125491626628314e-11,5.292862929117675e-10
EFB1,1.6859525773391828e-08,5.59966867113045e-09,2.736444780589959e-10,3.374008156673773e-09,2.14465233664793e-10,3.3702357946260486e-10,1.333513063327354e-09,4.579272418056417e-11,5.559556347423921e-10
VPS8,1.4878414867796343e-08,5.38478220435958e-09,3.495980574810524e-10,3.0696849248203947e-09,3.733437353617927e-11,1.0155644462435401e-10,1.4876483637807957e-09,1.5525028522213987e-11,9.436840806440025e-10
TFC3,1.3997064972275432e-08,4.676773239825726e-09,2.0901049357704337e-10,3.483485935882708e-09,3.1089938120555185e-11,1.2126865388131054e-10,1.4945851653816007e-09,1.1668974256908836e-11,1.0599809317171146e-09
NUP60,1.3405751159670445e-08,4.57418326106822e-09,2.27975397582943e-10,3.2801366122832015e-09,2.6409413831103998e-11,9.568457440666332e-11,1.43376254488634e-09,1.0944744185816702e-11,1.0761944448713565e-09
ERP1,1.3229929983969567e-08,4.799034959417541e-09,2.2515951602906716e-10,3.5329475556156472e-09,1.1890717301655905e-11,4.779090916993726e-11,1.2823809728560851e-09,1.6818848057759926e-11,1.2266521269642762e-09
SWD1,1.1684646530924827e-08,4.6903454833119656e-09,3.018700316014462e-10,4.17347381449498e-09,1.2293986810814373e-11,2.4265451951857955e-10,8.605952284523893e-10,1.0264766219458573e-10,1.9106829366082304e-09
RFA1,1.0482779990320109e-08,4.613548619972508e-09,2.818649255441143e-10,4.5819393593093435e-09,2.8860962814339316e-11,1.5625597518280497e-10,6.334148687950841e-10,2.2110544160919021e-10,1.7221980351888509e-09
SEN34,8.702389954189346e-09,3.929141619790458e-09,2.7664833330956677e-10,5.710646561486774e-09,9.42432172850346e-11,1.9902528009142447e-10,7.000033361357456e-10,2.7428607440201085e-10,1.4385869550046426e-09
BUD14,6.484084826114489e-09,4.17136549102353e-09,1.1243825923095732e-09,2.6731770504631e-09,9.632753810945819e-11,2.0493741248162927e-10,5.336721056587996e-10,4.5804293351575555e-10,1.395279671003454e-09
ADE1,5.697483180140547e-09,3.019503923984647e-09,7.302763520751783e-10,1.402872337619851e-09,4.713664473006167e-10,5.040332094812129e-10,8.776941678930723e-10,7.06266771793168e-10,1.6198573300292813e-09
KIN3,3.39729452399164e-09,3.5634142796615014e-09,5.734218676777277e-10,9.851813646668155e-10,6.466755880404334e-10,2.3621406248799384e-10,1.8135979265517799e-09,3.4183203020268083e-09,1.0528717561228722e-09
CDC15,3.939291925739802e-09,3.748090350895193e-09,8.996696999605569e-11,1.592278558545101e-09,9.188986127582401e-10,6.276387772231807e-10,1.3520851194402607e-09,1.7813186461669526e-09,4.881880338012299e-10
PAU7,6.709319266746653e-09,2.2326208165916048e-09,1.0860013679741058e-11,2.4420879840580024e-09,9.7541914211487e-10,8.24011788644164e-10,8.178732700919453e-10,1.2524459632450663e-09,1.01890759519002e-10
DFP1,1.1690980752762313e-08,1.3251965540700074e-09,1.825511716129282e-10,3.5835870414710577e-09,1.5051984977108223e-10,1.12254962012744e-09,3.550318708418899e-10,9.196069425165936e-10,6.378089612375772e-11
