pathway,status,n_genes,excluded_genes,description,SS,percent_SS,n_valid_snps,mean_percent_SS,null_mean,null_sd,fold_enrichment,p_value,n_samples,n_unique_null_sets,additive_sum,additive_sum_null_mean,additive_sum_null_sd,additive_sum_p_value,additive_mean,additive_mean_null_mean,additive_mean_null_sd,additive_mean_p_value,q_value_bh,additive_sum_q_value_bh,additive_mean_q_value_bh
PWY3O-19,tested,5,[],ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),2.2240093474528225e-14,0.0007128179709876091,42,4.040918202877603e-07,1.5424193625001767e-15,1.9492949209664505e-16,14.41896673189985,0.3333333333333333,2,2,0.01310021551859584,0.00026945101802191944,7.094380921932652e-05,0.3333333333333333,0.0003119098932999009,6.41550042909332e-06,1.6891383147458692e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-862,tested,8,[],superpathway of ubiquinone biosynthesis,2.4196253385773935e-14,0.000775514916954067,64,1.89334696521989e-07,6.677170887601017e-15,2.6508539829363242e-15,3.62372834140047,0.3333333333333333,2,2,0.013330001477213027,0.0003417787565105232,8.356687123793163e-05,0.3333333333333333,0.00020828127308145355,5.340293070476925e-06,1.3057323630926817e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY-922,tested,7,[],mevalonate pathway I,1.363985455886483e-14,0.00043717142926362473,60,1.2143650812878466e-07,4.597236592871878e-15,1.543553221979195e-15,2.966968152131596,0.3333333333333333,2,2,0.0006421349734350144,0.0009015805414021767,0.00023709673756720372,1.0,1.070224955725024e-05,1.5026342356702945e-05,3.951612292786728e-06,1.0,1.0,1.0,1.0
PWY3O-64,tested,4,[],methionine salvage pathway,4.639600522212328e-15,0.00014870398967631128,38,1.0298060226891362e-07,6.736545276695363e-16,2.683970933000938e-16,6.887210479031029,0.3333333333333333,2,2,0.0011388488798740018,0.0002803640279938627,0.00017651078002506773,0.3333333333333333,2.996970736510531e-05,7.378000736680598e-06,4.6450205269754666e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-6635,tested,5,[],superpathway of phosphatidate biosynthesis,2.2326270183065404e-15,7.15580023521076e-05,30,7.950889150234177e-08,5.605298232574864e-16,2.1406428401247492e-17,3.9830655313427545,0.3333333333333333,2,2,0.0009551242251053323,0.0005601240618205072,2.124428546111651e-05,0.3333333333333333,3.1837474170177745e-05,1.867080206068357e-05,7.081428487038832e-07,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-242,tested,4,[],phosphatidylinositol phosphate biosynthesis,2.1156645161365777e-14,0.0006780923332944525,93,7.840124098675598e-08,6.638969489921611e-15,2.619361509715646e-15,3.1867363140443628,0.3333333333333333,2,2,0.0006577301240878076,0.0009070364254706587,0.00031404821708073684,0.6666666666666666,7.07236692567535e-06,9.753079843770523e-06,3.3768625492552345e-06,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-1743,tested,4,[],mannose degradation,6.53109095024283e-16,2.093282118989109e-05,17,7.243190723145706e-08,2.3902291713160073e-16,1.9778117409736446e-16,2.7324120333812827,0.3333333333333333,2,2,0.0003279556624581326,0.003909953431192261,0.003466056195819312,1.0,1.929150955636074e-05,0.0002299972606583683,0.0002038856585776066,1.0,1.0,1.0,1.0
PWY3O-6407,tested,3,[],phosphatidate biosynthesis I (the dihydroxyacetone pathway),1.1715262930288577e-15,3.75486279368338e-05,24,6.518859016811423e-08,5.994945432061561e-16,2.827871507525399e-16,1.9541900861405996,0.3333333333333333,2,2,0.000873507345727676,0.0003308728045037823,0.00018529106895196233,0.3333333333333333,3.6396139405319836e-05,1.3786366854324262e-05,7.720461206331763e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-261,tested,7,[],superpathway of serine and glycine biosynthesis,2.8123439907039088e-15,9.013853019407243e-05,38,6.242280484354046e-08,1.836386964344669e-15,2.5739017808321e-16,1.5314549957652952,0.3333333333333333,2,2,0.0007274102075834297,0.0018846336566872204,0.0015752657990443487,0.6666666666666666,1.9142373883774466e-05,4.9595622544400534e-05,4.145436313274602e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-4158,tested,14,[],superpathway of NAD biosynthesis,9.72388825953548e-15,0.00031166066398106035,72,6.011972684819837e-08,6.684999801374251e-15,2.9501458750685796e-16,1.4545831785270236,0.3333333333333333,2,2,0.0018040982795172844,0.0011438736519059718,0.00023542001481810103,0.3333333333333333,2.5056920548851172e-05,1.588713405424961e-05,3.269722428029182e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-450,tested,3,[],,1.1383942816596505e-16,3.6486712745425742e-06,8,5.701048866472772e-08,4.0585173386105974e-17,2.1224792773620648e-18,2.8049511353064003,0.3333333333333333,2,2,0.001428024698347962,0.00017087238300146624,2.1800754964054273e-05,0.3333333333333333,0.00017850308729349526,2.135904787518328e-05,2.725094370506784e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-7,tested,8,[],superpathway of threonine biosynthesis,9.128084437403858e-15,0.0002925645359865923,72,5.643606018259882e-08,4.226593821636472e-15,1.4070206164859848e-15,2.159678649667264,0.3333333333333333,2,2,0.0006092972468349416,0.0010484646422754438,0.00018561243372601424,1.0,8.46246176159641e-06,1.4562008920492275e-05,2.5779504684168648e-06,1.0,1.0,1.0,1.0
PWY3O-123,tested,3,[],dolichyl phosphate D-mannose biosynthesis,8.574445703628318e-17,2.7481984263258195e-06,7,5.6085682169914685e-08,4.017891190005668e-17,2.313631121627964e-17,2.1340661800291865,0.3333333333333333,2,2,0.00017901754869084334,0.00034668280904625736,0.00019496184111879875,0.6666666666666666,2.5573935527263334e-05,4.9526115578036765e-05,2.785169158839982e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY-5651,tested,6,[],L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,2.973847974515123e-15,9.531489971691534e-05,42,5.40333898621969e-08,1.6348051401780849e-15,3.6829394887266925e-16,1.819084061719534,0.3333333333333333,2,2,0.0008940486138623281,0.001588479652568793,0.00041411282632132225,1.0,2.128687175862686e-05,3.7820944108780785e-05,9.859829198126721e-06,1.0,1.0,1.0,1.0
PWY-6126-1,tested,8,[],superpathway of adenosine nucleotides de novo biosynthesis II,4.2025251686820045e-15,0.0001346952730749623,52,4.9813340634231616e-08,3.023709204229958e-15,3.375614759639151e-16,1.3898575837924378,0.3333333333333333,2,2,0.003554176171933728,0.002981604890868912,0.001870552697090187,0.6666666666666666,6.834954176795631e-05,5.733855559363292e-05,3.597216725173436e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-2,tested,12,[],superpathway of phospholipid biosynthesis,8.175254533938654e-15,0.0002620253532595829,73,4.9169704120769926e-08,5.797556182755869e-15,3.516175642071266e-16,1.4101207950782713,0.3333333333333333,2,2,0.0019139619165542306,0.0007045747841820217,0.0001607442022850401,0.3333333333333333,2.6218656391153845e-05,9.978299835752518e-06,2.2092915229384944e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
