,pwy1,pwy2,vc,vc_mean
0,PWY3O-19,PWY-922,8.183408958384096e-06,3.2473845072952758e-09
1,PWY3O-19,PWY3O-242,1.1985522995771666e-05,3.068490270294845e-09
2,PWY3O-19,PWY3O-94,3.352577923548461e-05,3.951647717525296e-09
3,PWY3O-19,PWY3O-64,6.45409983821494e-06,4.043922204395326e-09
4,PWY3O-19,PWY3O-862,1.4870770627597839e-05,5.5322807394337194e-09
5,PWY3O-19,PWY3O-48,2.4304772751162266e-06,8.266929507198049e-09
6,PWY3O-19,PWY-781,3.2321785008687056e-06,5.496902212361745e-09
7,PWY3O-19,PWY3O-6499,3.4264583866812256e-06,3.0215682422233026e-09
8,PWY3O-19,PWY3O-6407,1.138795729627838e-06,1.1297576682815854e-09
9,PWY3O-19,PWY3O-45,8.917777289115669e-07,7.583143953329651e-10
10,PWY3O-19,PWY3O-6635,3.5472497762418697e-06,2.81527760019196e-09
11,PWY3O-19,PWY3O-188,8.407534306899566e-06,1.7406903326914215e-09
12,PWY3O-19,PWY-5651,2.1730225249987554e-06,1.23187217970451e-09
13,PWY3O-19,PWY3O-351,9.462981827586706e-06,3.818798154796895e-09
14,PWY3O-19,PWY3O-1743,7.353649441266032e-07,1.029922890933618e-09
15,PWY3O-19,PWY3O-7,5.986587435823792e-06,1.979691612375592e-09
16,PWY3O-19,PWY-5686-1,9.775359722003158e-06,4.15619035799454e-09
17,PWY3O-19,PWY3O-261,1.4683954075711428e-06,9.200472478515933e-10
18,PWY3O-19,PWY3O-3827,6.348667588622636e-07,1.007725014067085e-09
19,PWY3O-19,PWY3O-355,3.0610593565317323e-06,1.2565925108915157e-09
20,PWY3O-19,PWY3O-5962,1.1315064704794168e-05,2.6940630249509923e-09
21,PWY3O-19,PWY3O-4,6.9750862096659904e-06,3.459864191302575e-09
22,PWY3O-19,PWY-5971-1,2.7369710511115787e-06,1.1636781679896167e-09
23,PWY3O-19,PWY3O-4158,4.793851601151507e-06,1.5852683866241755e-09
24,PWY3O-19,PWY3O-450,3.142075528135656e-06,9.3514152623085e-09
25,PWY3O-19,PWY3O-123,2.2417713386145328e-07,7.62507258032154e-10
26,PWY3O-19,PWY3O-4107,1.195867117401314e-06,1.674883917929011e-09
27,PWY3O-19,PWY3O-2,9.089724998988364e-06,2.9646852573347567e-09
28,PWY3O-19,PWY3O-4153,2.577631002929202e-06,1.805063727541458e-09
29,PWY3O-19,PWY-6074-1,9.626772293471264e-07,2.083716946638802e-09
30,PWY3O-19,PWY-6123-1,1.5679155760129293e-06,9.572134163693097e-10
31,PWY3O-19,PWY3O-10,1.0600861845696855e-05,2.8044608057399087e-09
32,PWY3O-19,PWY3O-13,9.897317401715e-06,1.7327236347540268e-09
33,PWY3O-19,PWY3O-8514,2.6455342833336423e-06,1.1664613242211825e-09
34,PWY3O-19,PWY3O-6336,1.0692291826404545e-05,2.7671562697734327e-09
35,PWY3O-19,PWY-5694,1.330040980591642e-06,1.0919876687944513e-09
36,PWY3O-19,PWY-6126-1,4.42105927964085e-06,2.0242945419600965e-09
37,PWY3O-19,PWY0-162,1.3656201059424648e-05,3.870805288952565e-09
38,PWY3O-19,PWY3O-4109,2.1200635588291755e-05,2.4268126818099537e-09
39,PWY3O-19,PWY3O-4112,1.9701998353115252e-05,2.418016489091219e-09
40,PWY3O-19,PWY-7220-1,2.340929484729359e-06,1.5482337861966658e-09
41,PWY3O-19,PWY3O-4105,2.0768880186788457e-05,2.4974603399216516e-09
42,PWY3O-19,PWY3O-69,2.4570019600888595e-06,1.8281264583994493e-09
43,PWY3O-19,PWY-7222-1,2.340929484729359e-06,1.5482337861966658e-09
44,PWY3O-19,PWY-821-1,6.493301955960027e-06,2.917026934393543e-09
45,PWY3O-19,PWY-6075-1,1.6808780800439756e-06,1.5392656410659118e-09
46,PWY3O-19,PWY3O-4031,9.147362428420416e-06,2.292572037198099e-09
47,PWY3O-19,PWY-6482-1,3.128123755053677e-06,2.1905628536790454e-09
48,PWY3O-19,PWY3O-954,5.584488612858477e-07,1.0228001122451422e-09
49,PWY3O-19,PWY-5653,1.5928735336898082e-06,2.2309153132910485e-09
50,PWY3O-19,PWY-7219,2.0801297949114914e-06,3.095431242427815e-09
51,PWY3O-19,PWY-7221,3.64881421024197e-06,2.0684887813163096e-09
52,PWY3O-19,PWY3O-285,1.1423726242409864e-05,2.1586784282709494e-09
53,PWY3O-19,PWY0-662,5.327605809150697e-06,6.040369398130042e-09
54,PWY3O-19,PWY-5084,5.96248329158395e-07,3.9434413304126657e-10
55,PWY3O-19,PWY-7176,3.8808399800074394e-06,3.3000339966049652e-09
56,PWY3O-19,PWY-6125,5.495832847114136e-06,2.11053488752463e-09
57,PWY3O-19,PWY3O-4108,1.5125917773831423e-05,1.957287496613797e-09
58,PWY3O-19,PWY3O-981,2.4718124332984545e-06,1.4012542138880128e-09
59,PWY3O-19,PWY3O-31704,3.0571095531309476e-06,1.4557664538718798e-09
60,PWY3O-19,PWY3O-2220,1.2030144453367358e-06,3.1825778977162326e-09
61,PWY3O-19,PWY-2201,7.399926944001926e-06,1.286049173444895e-09
62,PWY3O-19,PWY3O-4120,1.9767248432018845e-06,1.4262084005785602e-09
63,PWY3O-19,PWY-6614,2.956264887930513e-07,5.865604936370066e-10
64,PWY3O-19,PWY3O-1,2.3945101465335387e-06,5.701214634603664e-09
65,PWY3O-19,PWY3O-214,1.629451987263759e-05,1.9206176181798197e-09
66,PWY3O-19,PWY3O-50,1.479512900118089e-06,2.201656101366204e-09
67,PWY3O-19,PWY3O-20,3.432120432163854e-06,1.3850364940128545e-09
68,PWY3O-19,PWY3O-4115,1.649820799522612e-05,1.9161681759844507e-09
69,PWY3O-19,PWY3O-440,1.498638321107742e-06,2.5487046277342554e-09
70,PWY3O-19,PWY3O-259,5.573660181633338e-07,9.479013914342412e-10
71,PWY3O-19,PWY3O-697,7.305425949748998e-06,1.5670154332365933e-09
72,PWY3O-19,PWY-5760-1,4.108022496444845e-06,5.147897865219105e-09
73,PWY3O-19,PWY-5041,1.05817171494277e-06,1.6796376427663017e-09
74,PWY3O-19,PWY3O-4300,3.998437102827165e-06,2.5052864052801782e-09
75,PWY3O-19,PWY3O-1565,2.6411786131321037e-06,1.3974490016571975e-09
76,PWY3O-19,PWY3O-15,9.031743736577611e-07,2.389350194861802e-09
77,PWY-922,PWY3O-242,3.2188989192239625e-06,5.768636055956922e-10
78,PWY-922,PWY3O-94,1.819689874113263e-05,1.5013942855719992e-09
79,PWY-922,PWY3O-64,6.951785383060552e-06,3.0490286767809436e-09
80,PWY-922,PWY3O-862,1.0231824402929497e-05,2.664537604929557e-09
81,PWY-922,PWY3O-48,5.613096453301937e-07,1.3364515365004614e-09
82,PWY-922,PWY-781,1.9960449173662132e-06,2.376243949245492e-09
83,PWY-922,PWY3O-6499,1.6939892066051951e-06,1.0456723497562932e-09
84,PWY-922,PWY3O-6407,1.2287383917616603e-06,8.532905498344864e-10
85,PWY-922,PWY3O-45,3.4488842241904563e-06,2.0529072763038427e-09
86,PWY-922,PWY3O-6635,1.7617509087242884e-06,9.787505048468269e-10
