gene1	gene2	mean_VC
RFS1	VPS64	3.923454948756614e-11
SPO13	CAB2	1.8766408435078557e-09
YDR524W-C	CCM1	2.964644424022931e-10
SPO71	PNT1	2.629547964520279e-10
SIT4	TFB4	2.085446460528994e-09
ALG1	POB3	3.5388392589019655e-09
TIM12	FAL1	4.060810618455072e-10
DRN1	SPG1	1.139393398602945e-11
ECM2	SKM1	5.431466810559794e-11
TOS8	USV1	7.3320194685416855e-09
RPM2	GPN2	4.751970098250626e-12
SPT6	ADD37	2.2177811185302223e-09
MMF1	RPL43A	4.721097157871755e-09
VPS8	UBP9	2.6910486725712494e-09
CWP2	MFT1	7.631132445221114e-12
PIC2	GPP1	1.2005418788825565e-09
MUP1	MYO3	1.3672431538896422e-09
YDR010C	TVP15	1.3923001206531484e-09
DBF4	YLR112W	4.4392591577587684e-10
YKL063C	TRZ1	6.320086616124652e-10
DUR12	SKN7	1.174681823676812e-10
RIT1	YOR161C-C	3.28801951158018e-09
TRP4	CHA4	3.1670126770793507e-10
STF1	MRS2	6.070863598460136e-10
YJL163C	SKG1	5.132460087090988e-09
PMR1	MUK1	9.014768043734069e-10
ROT2	SHR3	3.5399870705362077e-10
SKI6	MBB1	1.4003451471006258e-09
SNA4	KEL2	1.273008037682688e-10
RRP1	HOG1	1.7427183691444553e-11
RPL34B	FSH2	2.759875392155582e-09
NSA2	YLL032C	9.254990948107418e-11
YKR045C	IZH3	1.3532869273712574e-09
CUL3	RRD1	1.9054281181683516e-09
ASF2	YFL040W	9.436977190559943e-10
ARD1	ELG1	1.0396181157862814e-10
PMD1	ELP6	4.6057171812117226e-10
RRT14	YLR108C	7.131712017962432e-10
SRB5	MDL2	9.35671601972013e-10
BIK1	MCM22	1.0717203140471394e-10
SUS1	YGR204C-A	8.488885029103148e-11
HIT1	SGD1	4.265757656696306e-10
HMRA2	SLN1	2.1328973347590587e-10
YGR016W	MEX67	3.6903550032199304e-10
IMO32	ANB1	4.731210110073679e-11
GUF1	MNT4	3.804430469453271e-11
CAN1	PRM15	4.6485215600564754e-11
YDR524W-C	CRG1	1.4336514949843606e-10
RPN1	YPL229W	4.751853450008425e-10
KOG1	IES4	2.712184499479808e-09
MRPL39	AEP3	2.821976142264476e-09
MMS22	CIP1	1.4821918221014446e-09
ESP1	AYT1	2.3681002754589266e-09
GRX2	AVO1	8.81038455516268e-12
PTC1	DOM34	6.709451084376601e-10
THI2	YDR182W-A	3.8188521164924956e-11
YER034W	AST2	1.3069177164696145e-09
ERV41	CTR1	3.0255256813624064e-09
SED4	YLR179C	1.8095792739792344e-10
CKI1	MRI1	4.5425450225440455e-10
CAF40	NUP1	7.029504395938617e-10
OSH3	PUT4	4.076673892810514e-09
ATG8	FMN1	3.3937392657100546e-09
GUT2	YRM1	3.0668246503204895e-10
SPC19	YKL097C	1.4503632414939543e-09
PIR5	NUP116	2.0188510446360222e-09
YER084W	MRE11	7.42861503185524e-10
FUN19	LNP1	2.898169357061813e-10
ROG3	AIF1	1.191592090873357e-09
NUM1	RFC4	1.0078818414204196e-09
CCT7	RFC4	2.1892646482624726e-09
YER034W	VPS45	2.753879159935674e-10
RPL23B	REX2	1.3578662681997246e-10
INP53	THI72	1.2117739499010244e-11
ECM1	SGV1	3.584573181568312e-11
SGM1	MTQ1	3.5770801374484024e-11
HTB2	MSC2	1.923410490244821e-11
RNR2	AQY2	1.7324633092602672e-09
RER1	GOS1	1.582473254539881e-10
APM2	MRX4	1.7378968217475606e-10
STF1	PEX19	5.375372891403234e-11
GDH2	TCB2	8.730120226449905e-10
CTS2	ORT1	7.90301333789819e-10
HPT1	RIO2	2.1751190354442665e-09
SPI1	BIL1	3.979977230429744e-09
FLO5	LPX1	9.246672689747147e-10
YGR025W	SML1	1.6288997755333857e-09
RPL7A	ULS1	5.7467413322372356e-09
TMA22	TAD3	6.282440085351167e-10
SPT8	SEC14	5.003392726095257e-10
PFK2	RCL1	3.477350668751083e-10
RAD34	PUT2	6.191163858885713e-11
RSA4	MRPS35	1.6416142835860448e-09
YBR012W-A	APN1	4.073844229907203e-10
SOG2	CSR2	3.914245212575724e-09
RTA1	NTO1	9.49426162891238e-11
RFA1	DAM1	9.078470848781999e-10
ADY2	MGT1	2.8170954610719473e-10
MFG1	ADE3	7.888113322297897e-11
IML3	CNB1	1.227680698726805e-10
TRM8	RPP2A	3.770248673648012e-10
DFP4	NEO1	9.1381080531961e-11
TAM41	APP1	1.1881851040718554e-08
ADA2	ULS1	3.694178474498897e-11
ODC1	MOT1	7.284216072433388e-10
RPL14B	CSL4	6.999030739752563e-10
REH1	ELA1	4.246427268638861e-09
RAD28	COX4	4.461522383074273e-10
PST1	HXT2	8.999627574685241e-10
CAF4	SPC2	7.67081900646869e-10
ATG17	TOS6	2.812627306492853e-09
SPS22	OCA6	1.1962395568206235e-09
SYP1	ORM2	1.3241038761595122e-09
SCC2	GFA1	3.4544614510906224e-10
XRN1	NCP1	4.4646906024085676e-10
RPS26A	YRR1	2.650599736205143e-11
HLR1	FPY1	2.7830014620713023e-09
FZF1	POB3	5.157308721617633e-10
NEO1	YMR315W	1.2696100043578204e-09
YDL159W-A	MED6	2.395286014104724e-09
PKR1	RPL20B	2.1280324591042337e-10
DPB3	AIM7	1.0277109025158998e-11
MIN6	NOC2	9.410080685134668e-11
MLG1	CWC22	2.168309871869915e-10
RAD4	NAM2	2.265710040185875e-10
NAM9	NST1	7.930171524041184e-08
KSS1	NUP2	2.4326629755426287e-10
DFP3	UBP5	4.3950251344122185e-09
PTA1	CDC45	1.3409680287554498e-09
CSS1	CDD1	6.894415186035627e-10
MRS1	DFG5	1.544456655917877e-09
NTE1	YOR376W-A	4.863022879489724e-10
ISD11	PMS1	2.9452721051889387e-08
IME4	PBS2	5.310011651056951e-11
YCR006C	GCD2	1.5818721834684862e-09
HER1	LEE1	5.9803138300648e-10
SNT1	MLO127	2.5212445336173748e-11
UBX7	DCC1	2.4702102096253097e-09
DUG3	CHL1	2.0935113204723e-09
MED7	TRS33	2.521484969969057e-10
YCL021W-A	ARG56	8.867537816417849e-11
HEM25	YPQ1	1.4091805514186536e-10
CDC13	SHE10	7.434097440121045e-10
GCS1	DBF20	2.7935704858157193e-10
TNA1	ADE13	2.2140788512466132e-11
ATP5	ATG5	2.3356431887767584e-10
MYO1	LCL1	1.936179113571096e-11
DTR1	RPN7	1.1651812821741431e-09
QRI1	UTP14	5.227584436780785e-10
MF(ALPHA)1	RRP12	6.631239378980692e-11
NTA1	HIR2	1.4867435817599786e-10
DST1	DBP8	1.4444010035408198e-11
CBP2	POL32	5.531917954369341e-10
NIT1	COQ11	8.74421122674061e-11
PPM1	KHA1	6.125304827543236e-10
MNN14	ROY1	3.950973640162115e-10
SEA4	VMA1	5.760504662313815e-10
ZDS1	PUS1	2.492551548109969e-09
PCL9	TFB5	7.147384803647082e-11
YGR035W-A	GAC1	2.369356281134468e-10
CSS1	INO4	6.725564380423354e-10
RPS18A	ARC19	2.003706019891314e-11
YDL218W	TDA3	2.65061655259554e-09
FLO11	POM34	5.561622883645637e-11
PTP3	NAM7	2.7043192748449307e-09
ARG2	PUS7	3.73917551300834e-10
PAU7	YOR097C	8.745207353368513e-10
GSM1	PIP2	7.54879539494798e-09
DPB4	UGO1	8.055721259267132e-10
PEX5	SKN7	3.8363039673842345e-10
HOM2	PUT4	8.256072446744612e-11
PIC2	PFK26	4.130347599691885e-11
SNU71	RPL2B	1.5499061430861347e-10
TYW3	OSI1	5.145467426420383e-09
SMN1	MSB4	3.6136422354177598e-09
ERG7	MTQ1	6.959521217857068e-09
DUG2	SOK1	5.341213198208513e-10
EFM4	SPC2	2.8587265369309057e-10
GIP4	SDS24	1.3602524896118738e-10
GPI17	PIR3	1.9376059781284693e-09
RPL23B	STB5	9.319487547537202e-12
FOL3	SCD5	8.66946983554679e-09
TAF11	NSL1	5.389154709176371e-11
ECM21	MSC2	3.335414869176743e-10
DHH1	PMI40	7.382838183045654e-11
ARA1	YOR268C	5.791893536605262e-10
YLR012C	MET12	3.800180348866046e-08
UBC8	YOR338W	2.036775588848596e-11
UBA2	YMR001C-A	2.580638970954727e-09
YBR196C-A	TPH3	1.6416276532054484e-10
RPS6B	IRC19	7.196058645301952e-10
ECT1	BET3	3.061716508851482e-11
ALT2	CIC1	4.681939632845952e-10
GMH1	IQG1	8.250582686911901e-10
SAP1	NAM2	1.0744821372029203e-10
RSP5	YOR1	9.48915690429717e-10
UBP6	ECM30	9.767317139396778e-10
REG2	CDC14	2.7824003203012595e-10
ZRT3	CRN1	1.595535492632236e-10
MSC7	GUT2	3.5015419923644076e-10
HSP42	PUP3	4.303428584153958e-09
NPL4	PUT1	2.365619303533671e-09
BTN2	SIP3	4.669458596559012e-10
LIF1	HER2	8.753037272865844e-11
RTT101	LAC1	2.0670729422886785e-10
RPL24B	PDX1	4.67320067262003e-09
ATP3	YGL159W	9.157469414320467e-10
UBA1	MRPL15	1.1815803347919977e-10
NOP6	SYG1	1.5073384007751247e-09
AGE2	YKR005C	4.662491244758858e-10
PEX30	REX4	3.3961553438156166e-09
SPE1	YOR161C-C	1.2087998566026424e-10
RDH54	PRP28	3.4922452390634336e-10
ATG18	SPC97	1.7493757113883293e-10
YIL165C	YPL039W	1.3090121743254252e-09
TYR1	HMO1	1.0615849731710723e-09
IOC4	YPR127W	2.713228983636658e-10
MLO127	MMO1	5.196572992709078e-10
RIM9	CRT10	4.108064143200655e-11
VHS1	SWI6	2.2621845314196813e-10
CDC55	ATP4	1.049419229893589e-10
YBP1	GGA2	5.040569078109832e-10
SPC72	RNA14	4.239673043805873e-10
RTS1	SER1	1.140843940170733e-09
TAF6	ENT4	2.8609602767950854e-11
NHP2	SEC59	1.200833775927152e-10
URB2	ACP1	2.1237142249367816e-10
YPQ2	DPB11	1.2375437839906815e-09
CYR1	YOL097W-A	7.532682701652525e-09
YJR151W-A	SKI2	7.421430231212211e-09
RPS21B	KAP95	3.1758109029398764e-11
RVS167	HAP5	1.269754960889708e-10
ROK1	TDA9	3.220834727399734e-09
GNA1	SEN2	3.43828342887744e-09
TAX4	YPL152W-A	2.1443821352510635e-09
YLR379W-A	YOR289W	1.3663079393142627e-09
BDH1	ZAP1	7.790598881055322e-10
STF2	LYS1	8.996829962887935e-12
MIX17	VPS16	4.877424812782668e-10
STE24	HXT14	3.5471413697623537e-10
FOL3	ASC1	7.425082834799443e-11
YGR039W	INP54	1.3721229502778737e-09
YFL051C	JJJ1	1.0579913103736934e-10
MRK1	DJP1	2.8353741547500917e-09
LTV1	MDM38	3.551782843340485e-11
GCV1	MTM1	9.43308381599237e-10
MRPS35	APL1	4.6201703710247593e-10
URA3	SPC105	1.8179925141373074e-10
FMP23	SWC5	1.8636109853497105e-09
ARD1	YNL208W	4.018870024449e-12
MRX19	YMR242W-A	1.0114690316998273e-09
PDP3	YDC1	1.5466019281301746e-10
RRT6	DPH5	2.3027857709980056e-10
CWC24	PHO91	6.322984434610855e-10
TIM9	STP2	8.548763323012825e-10
CYS3	ENT5	2.5393836902264246e-09
VAS1	YMD8	1.8846126080133416e-10
DEG1	TOP1	1.0912767200952178e-10
CHK1	LEM3	7.625436572923274e-10
AAP1	DIP5	9.900506162445181e-09
MCM21	HOR7	4.724333340916791e-10
HEH2	KRE1	2.5173985880913407e-11
RPO31	RPL36B	8.133835312154935e-10
NPA3	YPR114W	1.9470044555987833e-09
ASI1	RRI2	2.967265480303581e-10
NSE5	YOR289W	2.778606009268983e-09
AIM11	RIM13	8.504932871117578e-10
GYL1	VID27	4.745793650519709e-09
ERC1	LAM1	2.373546362294114e-10
YIL059C	BUB3	1.4329123032265947e-11
SBP1	YAF9	2.3401432196089516e-09
AIM19	CTF13	5.573662716179884e-10
RPO21	INA22	1.7720538171002228e-09
PUP2	SDP1	3.322436455768616e-11
IME1	MRPL31	4.1467845405551344e-10
YDL114W	MCA1	2.8376752821327944e-09
GRX2	SPC25	5.4532135531699936e-12
AZR1	PCD1	7.688941973748967e-12
ZRG8	BUD9	1.2034253939563372e-09
SOL2	GAB1	2.4288837388929984e-09
MTR2	ART10	2.8140191341489947e-10
SKP2	IRC13	7.340995166946842e-10
RSC6	GTR1	1.7207255661590942e-09
JAC1	TUB1	7.496776608761641e-10
YLR236C	RQC2	5.666480833034582e-10
ECM15	ELP3	3.427580941234548e-11
CLF1	KAR1	4.067305968403823e-09
SPO7	YPT52	1.4788555479736603e-11
UTP10	VPS34	3.969759443997745e-10
RAD10	FYV12	1.6756783316092842e-09
YGR117C	YTM1	8.740569104268509e-11
TEL2	SUN4	1.4480698335773095e-09
YIL102C-A	SEN15	2.2772860941185602e-09
RPL19A	NST1	1.911365390661268e-09
APL2	ECM22	2.8808028416480295e-11
SPI1	NMD4	3.923877499428411e-10
YDR391C	MON2	8.154060958236797e-09
BAP2	ELG1	3.023848716636426e-10
MCM5	TEF1	2.2303471404840962e-09
ALG14	APL5	7.682294659580425e-10
YDL085C-A	MIN4	2.2898106248031524e-10
VPS72	PSE1	6.132999389719636e-10
CHK1	RMD8	9.963378116977076e-10
DNA2	SEN2	2.995371382218702e-09
MTL1	COS9	2.0413205525549193e-09
PAU16	RNH1	3.201735434509571e-11
DGR2	SEN2	1.971629817443135e-09
PCL7	TCB3	1.74769400745912e-11
QRI7	SAE3	6.189608562265265e-11
HTA2	POL2	2.4874935900565694e-09
YBR292C	THI72	1.0866447302357797e-08
NSR1	SFT1	9.955557432490694e-11
YPC1	DTD1	6.208030917806298e-12
YMC2	ERC1	2.724811617982002e-10
UGA2	NBP35	8.140267374188605e-10
CHZ1	EFM1	1.0073336741131943e-11
ARH1	SSU72	2.230615176734856e-09
PRP42	YPL199C	4.844611684761364e-09
RPL11B	HXT14	4.6312435468309405e-11
FUR1	SSK1	1.818124221931855e-09
FMN1	GRX4	3.602422841235065e-11
YER135C	MET3	2.8042557027887867e-10
HSP42	PDR12	8.630669040539857e-10
MUM2	ILV3	2.37402187052656e-09
RGR1	ELP3	1.9269627143760795e-10
SEH1	YHC1	1.6535507740542891e-09
MSH5	DIB1	1.0643487802833957e-09
MSH6	HSE1	9.356576831756087e-10
PRY3	PRP4	2.0639296803806637e-09
RAD34	TCO89	1.5709453538645001e-09
RPL21A	GPX1	1.6985824058051665e-11
MRPL39	YOR131C	6.810742275170486e-10
TIM22	SED5	1.3882815505623591e-09
MIF2	INO4	3.4810100171965486e-10
YEL1	TUB1	1.4518049258072443e-09
PEX7	YNL046W	5.143610349673447e-10
GTT2	RCH1	1.0356618104639275e-09
EDC2	HSH155	3.245163404891012e-10
NIC96	BUB2	2.2308531786848025e-10
STH1	DFG16	7.539491027784554e-11
DCP2	RPS30B	3.0070889975365685e-11
AAC1	YNL320W	6.587392645355048e-11
CCT2	SUA7	9.897359483435827e-10
DED81	ILM1	8.378129520714138e-12
SLC1	MET30	4.939958311131225e-10
TIM10	CIK1	1.5084459812096919e-09
KRE1	PXA1	9.653877815915612e-10
RMA1	CDC45	8.024718706303338e-11
TEC1	PHO91	4.1263459299446664e-10
KGD4	YJR142W	4.9807386919073756e-09
RPS25A	LAT1	9.016965812217758e-09
IMP3	YKR041W	3.884637982098318e-10
APQ12	CWP1	1.1815677756240544e-09
SEC6	THI22	7.691240109063873e-09
BNA4	AMF1	5.668842097192607e-10
MPT5	CMK2	6.142815557153099e-10
PEX19	YHL015W-A	2.88295537614753e-10
NAM2	MTQ1	1.2625678425109405e-09
RIM4	GPB1	3.636661952980419e-10
SLZ1	COG6	2.9374008350198646e-09
RFT1	HOT1	1.6184983252603473e-10
HED1	VPS35	1.5469352091336034e-09
UTP8	NMD4	8.616037211056476e-10
LEU5	LOH1	7.343478919879828e-11
TEN1	PHO85	2.9427097088145637e-08
JJJ1	MNE1	1.9654861675156827e-09
MNR2	CIM1	5.42451256771491e-10
SRC1	RPL20B	1.9032164523503482e-10
FAT3	YKR015C	1.9812243048977685e-10
RPI1	ORA1	1.3937507508704133e-09
OSH3	TAD2	4.1059733569217106e-10
HNT2	CCH1	1.5540003607307156e-09
YRB30	HIT1	4.93981089085341e-10
HDA2	SME1	3.3012941147546453e-10
HAP2	XRN1	1.567325681768905e-10
GID10	CYB5	5.595108532559879e-09
FIS1	MCM16	1.1954661577937456e-09
ASE1	SCD6	3.593746373281181e-10
RRP8	URM1	2.1661196498357054e-10
ARO2	YJL132W	4.6397105597206166e-10
TDH3	MLP1	4.862499933881808e-10
CDC14	JEM1	2.307101923483033e-09
YBL044W	ELG1	6.99395014665462e-10
ARO10	YIL089W	3.022203198380689e-09
YBR225W	MGR1	7.442732654180782e-10
CPS1	CIN1	8.093154667148638e-11
ARH1	YNL040W	3.385777632591364e-09
UBP13	TRS85	1.0512284986007012e-09
SQT1	FMP30	3.461314523575536e-09
GOR1	YNL165W	5.3555562811890396e-11
MBR1	MUB1	2.502283285042165e-10
HAB1	BRR6	1.6882877006719604e-10
KSP1	MRPL22	1.0158474483805344e-09
CSM1	HEM1	1.1946302788363413e-10
MID2	YNL019C	7.489784483159744e-10
PAR32	YTA6	3.3789779181632894e-09
LRE1	YAT2	1.318002532303265e-09
YND1	YPL216W	1.7829954627842928e-10
BRE1	ZAP1	9.900318168311929e-11
PHM6	VMA10	1.1452194795204187e-09
NGL3	THI21	2.706447575173358e-09
RBG2	THI22	6.858862830465427e-11
CLF1	PEP12	3.369218765110996e-10
ADE17	YMR196W	4.707821785205006e-09
LSM1	SRO7	8.132181405648847e-10
AIM22	YAP1	3.1719803049846567e-10
RHB1	PRM4	3.5249953716432337e-10
SNF11	MPO1	4.144277197278698e-11
