superpathway,subpathway,source_url
PWY3O-94,GLYOXYLATE-BYPASS,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-94&type=PATHWAY
PWY3O-94,TCA-EUK-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-94&type=PATHWAY
PWY3O-6635,PWY3O-6407,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-6635&type=PATHWAY
PWY3O-6635,PWY3O-6499,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-6635&type=PATHWAY
PWY3O-351,PWY3O-64,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-351&type=PATHWAY
PWY3O-351,ARGSPECAT-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-351&type=PATHWAY
PWY3O-351,BSUBPOLYAMSYN-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-351&type=PATHWAY
PWY3O-351,SAM-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-351&type=PATHWAY
PWY3O-7,ASPBIO-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-7&type=PATHWAY
PWY3O-261,PWY3O-230,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-261&type=PATHWAY
PWY3O-261,SERSYN-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-261&type=PATHWAY
PWY3O-261,GLYSYN-THR-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-261&type=PATHWAY
PWY3O-261,GLYSYN-ALA-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-261&type=PATHWAY
PWY3O-2,PWY3O-450,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-2&type=PATHWAY
PWY3O-2,PWY3O-3,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-2&type=PATHWAY
PWY3O-2,PWY3O-259,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-2&type=PATHWAY
PWY3O-2,PHOSLIPSYN2-PWY-1,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-2&type=PATHWAY
PWY3O-2,PWY-5669,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-2&type=PATHWAY
PWY3O-13,GLUGLNSYN-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-13&type=PATHWAY
PWY3O-13,GLUNH3-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-13&type=PATHWAY
PWY0-162,PWY-7176,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY0-162&type=PATHWAY
PWY0-162,PWY-5686-1,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY0-162&type=PATHWAY
PWY3O-69,HEME-BIOSYNTHESIS-II,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-69&type=PATHWAY
PWY3O-69,PWY3O-50,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-69&type=PATHWAY
PWY3O-69,PWY-5194-1,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-69&type=PATHWAY
PWY-821-1,SO4ASSIM-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-821-1&type=PATHWAY
PWY-821-1,PWY-5344,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-821-1&type=PATHWAY
PWY-821-1,HOMOCYS-CYS-CONVERT,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-821-1&type=PATHWAY
PWY-821-1,HOMOCYSDEGR-PWY-1,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-821-1&type=PATHWAY
PWY-821-1,PWY-5340,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-821-1&type=PATHWAY
PWY3O-285,PWY3O-2220,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-285&type=PATHWAY
PWY3O-285,PWY3O-743,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-285&type=PATHWAY
PWY3O-285,DENOVOPURINE3-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-285&type=PATHWAY
PWY-6125,PWY-7222-1,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-6125&type=PATHWAY
PWY-6125,PWY-7221,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-6125&type=PATHWAY
PWY3O-981,PWY3O-661,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-981&type=PATHWAY
PWY3O-981,PWY3O-440,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-981&type=PATHWAY
PWY3O-981,PWY3O-335,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-981&type=PATHWAY
PWY-6126-1,PWY-7220-1,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-6126-1&type=PATHWAY
PWY-6126-1,PWY-7219,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY-6126-1&type=PATHWAY
PWY3O-954,PWY-5344,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-954&type=PATHWAY
PWY3O-954,HOMOSERSYN-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-954&type=PATHWAY
PWY3O-954,PWY3O-238,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-954&type=PATHWAY
PWY3O-5962,FASYN-ELONG2-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-5962&type=PATHWAY
PWY3O-5962,PWY3O-1801,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-5962&type=PATHWAY
PWY3O-5962,PWY3O-5268,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-5962&type=PATHWAY
PWY3O-5962,PWY3O-355,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-5962&type=PATHWAY
PWY3O-5962,PWY3O-10,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-5962&type=PATHWAY
PWY3O-4158,PWY3O-224,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4158&type=PATHWAY
PWY3O-4158,PWY3O-236,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4158&type=PATHWAY
PWY3O-4158,PWY3O-4106,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4158&type=PATHWAY
PWY3O-4158,PWY3O-96,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4158&type=PATHWAY
PWY3O-4158,PWY3O-4107,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4158&type=PATHWAY
PWY3O-4158,NADSYN-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4158&type=PATHWAY
PWY3O-4158,PWY-5653,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4158&type=PATHWAY
PWY3O-4158,PWY-5651,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-4158&type=PATHWAY
PWY3O-6336,FASYN-ELONG2-PWY,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-6336&type=PATHWAY
PWY3O-6336,PWY3O-355,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-6336&type=PATHWAY
PWY3O-6336,PWY3O-10,https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?object=PWY3O-6336&type=PATHWAY
