chrom,gene_chr_start,gene_chr_end,gene_name,gene_standard_name
1,24000,27968,YAL063C,FLO9
1,31567,32940,YAL062W,GDH3
1,33448,34701,YAL061W,BDH2
1,35155,36303,YAL060W,BDH1
1,36496,36918,YAL059C-A,ECM1
1,36509,37147,YAL059W,ECM1
1,37464,38972,YAL058W,CNE1
1,38696,39046,YAL056C-A,CNE1
1,39259,41901,YAL056W,GPB2
1,42177,42719,YAL055W,PEX22
1,42881,45022,YAL054C,ACS1
1,45899,48250,YAL053W,FLC2
1,48564,51707,YAL051W,OAF1
1,51855,52595,YAL049C,AIM2
1,52801,54789,YAL048C,GEM1
1,54584,54913,YAL047W-A,GEM1
1,54989,56857,YAL047C,SPC72
1,57029,57385,YAL046C,BOL3
1,57488,57796,YAL045C,BOL1
1,57950,58462,YAL044C,GCV3
1,58695,61052,YAL043C,PTA1
1,61316,62563,YAL042W,ERV46
1,62840,65404,YAL041W,CDC24
1,65778,67520,YAL040C,CLN3
1,68716,69525,YAL039C,CYC3
1,71786,73288,YAL038W,CDC19
1,74020,74823,YAL037W,YAL037W
1,75043,76152,YAL036C,RBG1
1,76427,79435,YAL035W,FUN12
1,80710,81951,YAL034C,FUN19
1,82706,83227,YAL033W,POP5
1,83335,84474,YAL032C,PRP45
1,84669,84977,YAL031W-A,PRP45
1,84749,87031,YAL031C,GIP4
1,87286,87752,YAL030W,SNC1
1,87855,92270,YAL029C,MYO4
1,92900,94486,YAL028W,FRT2
1,95630,99697,YAL026C,DRS2
1,100225,101145,YAL025C,MAK16
1,106272,108551,YAL023C,PMT2
1,108877,110430,YAL022C,FUN26
1,110846,113359,YAL021C,CCR4
1,114250,114819,YAL019W-A,ATS1
1,114919,118314,YAL019W,FUN30
1,118564,119541,YAL018C,LDS1
1,120225,124295,YAL017W,PSK1
1,126903,128102,YAL015C,NTG1
1,128252,129019,YAL014C,SYN8
1,129270,130487,YAL013W,DEP1
1,130799,131983,YAL012W,CYS3
1,132199,134076,YAL011W,SWC3
1,134184,135665,YAL010C,MDM10
1,135854,136633,YAL009W,SPO7
1,136914,137510,YAL008W,FUN14
1,137698,138345,YAL007C,ERP2
1,139503,141431,YAL005C,SSA1
1,142174,143160,YAL003W,EFB1
1,143707,147531,YAL002W,VPS8
1,147594,151166,YAL001C,TFC3
1,152257,153876,YAR002W,NUP60
1,154065,154724,YAR002C-A,ERP1
1,155005,156285,YAR003W,SWD1
1,156754,158619,YAR007C,RFA1
1,158966,159793,YAR008W,SEN34
1,166742,168871,YAR014C,BUD14
1,169375,170295,YAR015W,ADE1
1,170396,171703,YAR018C,KIN3
1,172211,175135,YAR019C,CDC15
1,174998,175330,YAR019W-A,CDC15
1,176856,177023,YAR020C,PAU7
1,179281,179820,YAR023C,DFP1
1,183770,184477,YAR027W,UIP3
1,184892,185596,YAR028W,KTD1
1,186321,186545,YAR029W,DFP2
1,186512,186853,YAR030C,DFP2
1,186836,187732,YAR031W,PRM9
1,190193,192256,YAR035W,YAT1
1,192337,192417,YAR035C-A,YAR035C-A
1,192619,196185,YAR042W,SWH1
2,9961,10551,YBL107C,MIX23
2,10847,13879,YBL106C,SRO77
2,14241,17696,YBL105C,PKC1
2,18177,21293,YBL104C,SEA4
2,22076,23536,YBL103C,RTG3
2,24098,24745,YBL102W,SFT2
2,24946,28299,YBL101C,ECM21
2,28427,28546,YBL100W-C,YBL100W-C
2,36989,37303,YBL100C,YNCB0002W
2,37053,38690,YBL099W,ATP1
2,39145,40527,YBL098W,BNA4
2,40831,43095,YBL097W,BRN1
2,46565,47180,YBL091C-A,SCS22
2,49574,50953,YBL089W,AVT5
2,51019,59382,YBL088C,TEL1
2,63876,66818,YBL085W,BOI1
2,67169,69445,YBL084C,CDC27
2,69713,70138,YBL083C,ALG3
2,69751,71127,YBL082C,ALG3
2,71866,72972,YBL081W,YBL081W
2,73070,74695,YBL080C,PET112
2,75259,79767,YBL079W,NUP170
2,80378,80731,YBL078C,ATG8
2,81043,84261,YBL076C,ILS1
2,84499,86448,YBL075C,SSA3
2,86722,87789,YBL074C,AAR2
2,87646,87957,YBL073W,SNR56
2,89458,89556,YBL071C-B,YBL071C-B
2,93639,95882,YBL067C,UBP13
2,101886,105221,YBL063W,KIP1
2,105316,107406,YBL061C,SKT5
2,107932,109995,YBL060W,YEL1
2,111437,112708,YBL058W,SHP1
2,113762,115168,YBL056W,PTC3
2,115573,116829,YBL055C,YBL055C
2,117589,119166,YBL054W,TOD6
2,119335,119709,YBL053W,SAS3
2,119379,121874,YBL052C,SAS3
2,122753,124759,YBL051C,PIN4
2,125125,126119,YBL050W,SEC17
2,126828,127244,YBL049W,MOH1
2,127895,132040,YBL047C,EDE1
2,132424,133749,YBL046W,PSY4
2,134143,135516,YBL045C,COR1
2,135998,136366,YBL044W,YBL044W
2,136688,137461,YBL043W,ECM13
2,138341,140260,YBL042C,FUI1
2,141247,141972,YBL041W,PRE7
2,142112,142868,YBL040C,ERD2
2,143393,143572,YBL039W-B,MIN6
2,143989,145728,YBL039C,URA7
2,146187,146885,YBL038W,MRPL16
2,147209,150286,YBL037W,APL3
2,150447,151220,YBL036C,YBL036C
2,151493,153610,YBL035C,POL12
2,153848,158389,YBL034C,STU1
2,158656,159693,YBL033C,RIB1
2,160184,161329,YBL032W,HEK2
2,161699,162715,YBL031W,SHE1
2,163041,163997,YBL030C,PET9
2,164488,164772,YBL029C-A,YBL029C-A
2,166134,167264,YBL029W,YBL029W
2,167518,167838,YBL028C,YBL028C
2,168423,169376,YBL027W,RPL19B
2,170623,171038,YBL026W,LSM2
2,171481,171918,YBL025W,RRN10
2,172534,174588,YBL024W,NCL1
2,174920,177526,YBL023C,MCM2
2,177874,181275,YBL022C,PIM1
2,181660,182094,YBL021C,HAP3
2,182401,184125,YBL020W,RFT1
2,184353,185915,YBL019W,APN2
2,185998,186474,YBL018C,POP8
2,186844,191583,YBL017C,PEP1
2,192451,193512,YBL016W,FUS3
2,194122,195702,YBL015W,ACH1
2,199064,201748,YBL014C,RRN6
2,202056,203261,YBL013W,FMT1
2,203406,203807,YBL012C,FMT1
2,203538,205817,YBL011W,SCT1
2,206107,206949,YBL010C,LAA2
2,207194,209224,YBL009W,ALK2
2,209409,209648,YBL008W-A,YBL008W-A
2,209653,212175,YBL008W,HIR1
2,212632,216366,YBL007C,SLA1
2,216587,217129,YBL006C,LDB7
2,217470,220400,YBL005W,PDR3
2,227636,235117,YBL004W,UTP20
2,235394,235792,YBL003C,HTA2
2,236492,236887,YBL002W,HTB2
2,237153,237467,YBL001C,ECM15
2,238941,241283,YBR001C,NTH2
2,241708,242568,YBR002C,RER2
2,242809,244230,YBR003W,COQ1
2,244366,245667,YBR004C,GPI18
2,245906,246547,YBR005W,RCR1
2,247010,248503,YBR006W,UGA2
2,248806,251016,YBR007C,DSF2
2,252563,254209,YBR008C,FLR1
2,255373,255684,YBR009C,HHF1
2,256331,256741,YBR010W,HHT1
2,257112,257975,YBR011C,IPP1
2,259147,259566,YBR012C,YBR012W-A
2,265492,265881,YBR013C,YBR013C
2,266725,267336,YBR014C,GRX7
2,267710,269503,YBR015C,MNN2
2,274427,275527,YBR018C,GAL7
2,276253,278352,YBR019C,GAL10
2,279021,280607,YBR020W,GAL1
2,281443,283344,YBR021W,FUR4
2,283738,284271,YBR022W,POA1
2,284428,287925,YBR023C,CHS3
2,290681,291865,YBR025C,OLA1
2,292877,294019,YBR026C,ETR1
2,294425,296002,YBR028C,YPK3
2,296369,297742,YBR029C,CDS1
2,298292,299950,YBR030W,RKM3
2,300166,301254,YBR031W,RPL4A
2,301519,301821,YBR032W,YBR032W
2,301944,304703,YBR033W,EDS1
2,309081,310313,YBR036C,CSG2
2,310565,311452,YBR037C,SCO1
2,311898,314789,YBR038W,CHS2
2,315575,316510,YBR039W,ATP3
2,318266,320275,YBR041W,FAT1
2,320416,321609,YBR042C,CST26
2,321876,323945,YBR043C,QDR3
2,324341,326059,YBR044C,TCM62
2,328173,330092,YBR045C,GIP1
2,330507,331511,YBR046C,ZTA1
2,331833,332360,YBR047W,FMP23
2,332831,333812,YBR048W,RPS11B
2,334386,336818,YBR049C,REB1
2,337183,338199,YBR050C,REG2
2,338720,339352,YBR052C,RFS1
2,339675,340751,YBR053C,YBR053C
2,343101,344135,YBR054W,YRO2
2,344602,347301,YBR055C,PRP6
2,347879,349384,YBR056W,MRX18
2,351255,351455,YBR056W-A,MNC1
2,352193,353293,YBR057C,MUM2
2,353672,356017,YBR058C,UBP14
2,356861,360187,YBR059C,AKL1
2,360652,362514,YBR060C,ORC2
2,364787,365719,YBR061C,TRM7
2,365976,366600,YBR062C,YBR062C
2,366970,368184,YBR063C,CNM1
2,367763,368191,YBR064W,CNM1
2,368584,369678,YBR065C,ECM2
2,370037,370699,YBR066C,NRG2
2,372103,372735,YBR067C,TIP1
2,373861,375690,YBR068C,BAP2
2,376574,378433,YBR069C,TAT1
2,379221,379934,YBR070C,ALG14
2,380411,381046,YBR071W,YBR071W
2,382030,382674,YBR072W,HSP26
2,382860,383021,YBR072C-A,YBR072C-A
2,383112,385988,YBR073W,RDH54
2,386286,389216,YBR074W,PFF1
2,390227,391291,YBR076W,ECM8
2,391351,391617,YBR076C-A,SLM4
2,391805,392293,YBR077C,SLM4
2,393123,394742,YBR078W,ECM33
2,395383,398277,YBR079C,RPG1
2,398614,400890,YBR080C,SEC18
2,401253,405251,YBR081C,SPT7
2,406628,407169,YBR082C,UBC4
2,409169,410629,YBR083W,TEC1
2,411054,413981,YBR084W,MIS1
2,414186,415261,YBR084C-A,RPL19A
2,415983,416906,YBR085W,AAC3
2,418907,419164,YBR085C-A,YBR085C-A
2,420201,423041,YBR086C,IST2
2,423765,424829,YBR087W,RFC5
2,424990,425766,YBR088C,POL30
2,426190,426873,YBR089C-A,YBR090C
2,426333,427058,YBR090C,YBR090C
2,427155,427484,YBR091C,TIM12
2,427698,429101,YBR092C,PHO3
2,429548,430951,YBR093C,PHO5
2,432036,434297,YBR094W,PBY1
2,434406,435698,YBR095C,RXT2
2,436021,436713,YBR096W,YBR096W
2,436951,441315,YBR097W,VPS15
2,441515,443590,YBR098W,MMS4
2,445062,447323,YBR102C,EXO84
2,447709,449316,YBR103W,SIF2
2,449320,449463,YBR103C-A,YMC2
2,449667,450656,YBR104W,YMC2
2,450881,451969,YBR105C,VID24
2,452658,453224,YBR106W,SND3
2,453793,454530,YBR107C,IML3
2,454822,457665,YBR108W,AIM3
2,457919,458362,YBR109C,CMD1
2,458608,458832,YBR109W-A,CMD1
2,458872,460221,YBR110W,ALG1
2,461178,461873,YBR111C,YSA1
2,462139,462579,YBR111W-A,SUS1
2,462870,465770,YBR112C,CYC8
2,465566,466048,YBR113W,CYC8
2,467248,469620,YBR114W,RAD16
2,469748,473926,YBR115C,LYS2
2,474199,474726,YBR116C,TKL2
2,474392,476437,YBR117C,TKL2
2,477671,479047,YBR118W,TEF2
2,479338,480323,YBR119W,MUD1
2,480435,480923,YBR120C,CBP6
2,481364,483367,YBR121C,GRS1
2,483970,484503,YBR122C,MRPL36
2,484742,486691,YBR123C,TFC1
2,486507,486866,YBR124W,TFC1
2,487199,488380,YBR125C,PTC4
2,490927,491070,YBR126W-B,MEO1
2,493081,494115,YBR128C,ATG14
2,494353,495339,YBR129C,OPY1
2,495592,496869,YBR130C,SHE3
2,497163,499277,YBR131W,CCZ1
2,499652,501442,YBR132C,AGP2
2,501804,504287,YBR133C,HSL7
2,504243,504644,YBR134W,CKS1
2,504854,505306,YBR135W,CKS1
2,505668,512774,YBR136W,MEC1
2,513044,513583,YBR137W,YBR137W
2,513762,515336,YBR138C,YBR138C
2,515664,517190,YBR139W,ATG42
2,517350,526628,YBR140C,IRA1
2,527025,528038,YBR141C,BMT2
2,528317,530638,YBR142W,MAK5
2,530869,532182,YBR143C,SUP45
2,533235,533549,YBR144C,YBR144C
2,533762,534817,YBR145W,ADH5
2,535260,536096,YBR146W,MRPS9
2,536575,537465,YBR147W,RTC2
2,537876,539705,YBR148W,YSW1
2,539987,541021,YBR149W,ARA1
2,541209,544493,YBR150C,TBS1
2,545028,545978,YBR151W,APD1
2,546376,547251,YBR152W,SPP381
2,547460,548194,YBR153W,RIB7
2,548362,549009,YBR154C,RPB5
2,549771,550928,YBR155W,CNS1
2,551104,553200,YBR156C,SLI15
2,553543,554310,YBR157C,ICS2
2,556549,558198,YBR158W,AMN1
2,558685,559728,YBR159W,IFA38
2,560078,560974,YBR160W,CDC28
2,561634,562764,YBR161W,CSH1
2,563203,564570,YBR162C,TOS1
2,565231,565428,YBR162W-A,YSY6
2,565723,567480,YBR163W,EXO5
2,567875,568426,YBR164C,ARL1
2,568852,569685,YBR165W,UBS1
2,569842,571200,YBR166C,TYR1
2,571468,571890,YBR167C,POP7
2,572371,573612,YBR168W,PEX32
2,573915,575996,YBR169C,SSE2
2,576344,578086,YBR170C,NPL4
2,578364,578984,YBR171W,SEC66
2,579150,581372,YBR172C,SMY2
2,581726,582172,YBR173C,UMP1
2,582338,582652,YBR174C,SWD3
2,582408,583355,YBR175W,SWD3
2,583720,584658,YBR176W,ECM31
2,584807,586162,YBR177C,EHT1
2,586071,586445,YBR178W,EHT1
2,586547,589114,YBR179C,FZO1
2,589741,591459,YBR180W,DTR1
2,591712,592774,YBR181C,RPS6B
2,593506,594864,YBR182C,SMP1
2,595361,595555,YBR182C-A,YBR182C-A
2,596115,597065,YBR183W,YPC1
2,597363,598934,YBR184W,YBR184W
2,599123,599959,YBR185C,MBA1
2,600553,602360,YBR186W,PCH2
2,602634,603476,YBR187W,GDT1
2,603685,604107,YBR188C,NTC20
2,604508,605508,YBR189W,RPS9B
2,605966,606277,YBR190W,RPL21A
2,606270,607140,YBR191W,RPL21A
2,607149,607223,YBR191W-A,RPL21A
2,607652,608785,YBR192W,RIM2
2,609082,609753,YBR193C,MED8
2,610038,610409,YBR194W,AIM4
2,610614,611882,YBR195C,MSI1
2,612236,613900,YBR196C,PGI1
2,614024,614173,YBR196C-A,YBR196C-A
2,614526,614630,YBR196C-B,YBR196C-B
2,615203,615856,YBR197C,YBR197C
2,616127,618523,YBR198C,TAF5
2,618909,620303,YBR199W,KTR4
2,620872,622527,YBR200W,BEM1
2,623576,624211,YBR201W,DER1
2,624493,624696,YBR201C-A,MIN7
2,625772,628309,YBR202W,MCM7
2,629168,631942,YBR203W,COS111
2,632254,633381,YBR204C,LDH1
2,633622,634836,YBR205W,KTR3
2,634601,634924,YBR206W,KTR3
2,635146,636543,YBR207W,FTH1
2,636703,642210,YBR208C,DUR12
2,642583,642900,YBR209W,YBR209W
2,645550,645978,YBR210W,ERV15
2,646158,647132,YBR211C,AME1
2,647886,649904,YBR212W,NGR1
2,650368,651192,YBR213W,MET8
2,651415,652998,YBR214W,SDS24
2,653356,655317,YBR215W,HPC2
2,655576,657600,YBR216C,YBP1
2,657832,658392,YBR217W,ATG12
2,658707,662249,YBR218C,PYC2
2,662499,663303,YBR219C,YBR219C
2,662995,664677,YBR220C,YBR220C
2,665153,666253,YBR221C,PDB1
2,666538,666642,YBR221W-A,YBR221W-A
2,666720,668351,YBR222C,PCS60
2,668663,670297,YBR223C,TDP1
2,670125,670640,YBR224W,TDP1
2,670627,673329,YBR225W,YBR225W
2,673572,675134,YBR227C,MCX1
2,675313,676227,YBR228W,SLX1
2,676357,679221,YBR229C,ROT2
2,679549,680050,YBR230C,OM14
2,680362,680562,YBR230W-A,COQ21
2,682179,683090,YBR231C,SWC5
2,683373,683732,YBR232C,PBP2
2,683428,684669,YBR233W,PBP2
2,685438,686592,YBR234C,ARC40
2,686901,690263,YBR235W,VHC1
2,690383,691693,YBR236C,ABD1
2,691969,694518,YBR237W,PRP5
2,695107,697302,YBR238C,YBR238C
2,700490,701842,YBR240C,THI2
2,702589,704055,YBR241C,VVS1
2,704670,705386,YBR242W,YBR242W
2,705447,706793,YBR243C,ALG7
2,707528,708016,YBR244W,GPX2
2,708150,711539,YBR245C,ISW1
2,711591,712754,YBR246W,RRT2
2,713004,714455,YBR247C,ENP1
2,714807,716465,YBR248C,HIS7
2,716882,717994,YBR249C,ARO4
2,719033,720604,YBR250W,SPO23
2,727386,728102,YBR256C,RIB5
2,729734,730162,YBR258C,SHG1
2,730387,732453,YBR259W,YBR259W
2,732639,734639,YBR260C,RGD1
2,734832,735530,YBR261C,TAE1
2,736264,737736,YBR263W,SHM1
2,737770,738369,YBR264C,YPT10
2,738582,739544,YBR265W,TSC10
2,739841,741022,YBR267W,REI1
2,741299,741616,YBR268W,MRPL37
2,742160,742576,YBR269C,SDH8
2,742761,744398,YBR270C,BIT2
2,744852,746111,YBR271W,EFM2
2,746361,747803,YBR272C,HSM3
2,748061,749371,YBR273C,UBX7
2,749594,751177,YBR274W,CHK1
